transaction_id,ts,account_id,customer_id,merchant_id,mcc,mcc_risk,merchant_country,device_id,device_type,channel,amount,currency,auth_code,country,customer_risk_tier,is_fraud,fraud_typology,fraud_reported_at,aml_flag,aml_typology,hour,dow,is_night,is_weekend,velocity_24h,seconds_since_last,transaction_risk_score,is_high_risk
TX1000000000,2023-01-01 13:36:24,A5014148,C1012118,M203491,5732,3,KP,D906558,ios,ecom,27.43,USD,approved,US,medium,False,,,False,,13,6,0,1,1,86400.0,45.6,0
TX1000000001,2023-01-01 16:58:07,A5150848,C1047184,M210993,6051,5,MM,D963107,pos,ecom,78.72,USD,approved,US,low,False,,,False,,16,6,0,1,1,86400.0,61.4,0
TX1000000002,2023-01-01 18:47:41,A5248063,C1010937,M209389,7299,2,DE,D906012,ios,ecom,51.94,USD,approved,US,low,False,,,False,,18,6,0,1,1,86400.0,26.9,0
TX1000000003,2023-01-01 19:37:20,A5040753,C1035787,M200571,7011,2,US,D960960,android,ecom,15.8,USD,approved,US,low,False,,,False,,19,6,0,1,1,86400.0,22.6,0
TX1000000004,2023-01-02 01:36:33,A5125205,C1028191,M203971,4111,1,DE,D912895,android,p2p,210.19,USD,approved,US,low,False,,,False,,1,0,1,0,1,86400.0,34.1,0
TX1000000005,2023-01-02 09:00:34,A5129082,C1009754,M202144,4899,1,FR,D932469,android,ach,282.53,USD,approved,US,low,False,,,False,,9,0,0,0,1,86400.0,27.2,0
TX1000000006,2023-01-03 06:56:15,A5215056,C1023205,M204180,7011,2,DE,D949315,web,ach,78.53,USD,approved,US,low,False,,,False,,6,1,0,0,1,86400.0,28.4,0
TX1000000007,2023-01-04 03:30:36,A5057651,C1027299,M202947,7399,3,AE,D936472,web,card_present,324.17,USD,approved,US,low,False,,,False,,3,2,1,0,1,86400.0,47.7,0
TX1000000008,2023-01-06 04:32:25,A5221841,C1047841,M202799,5541,2,DE,D949729,ios,p2p,22.24,USD,approved,US,medium,False,,,False,,4,4,1,0,1,86400.0,31.8,0
TX1000000009,2023-01-06 04:49:55,A5005307,C1010618,M203050,5732,3,AE,D946389,android,p2p,8.89,USD,approved,US,low,False,,,False,,4,4,1,0,1,86400.0,34.6,0
TX1000000010,2023-01-06 18:12:42,A5028507,C1023325,M208312,6012,5,VG,D962009,ios,wire,776.75,USD,approved,GB,low,False,,,False,,18,4,0,0,1,86400.0,82.0,1
TX1000000011,2023-01-06 18:34:23,A5147394,C1016118,M204407,5999,2,SY,D973590,android,card_present,76.82,USD,approved,US,low,False,,,False,,18,4,0,0,1,86400.0,43.3,0
TX1000000012,2023-01-07 03:05:25,A5058222,C1007858,M207641,5912,1,AU,D948584,pos,card_present,96.05,USD,declined,US,low,False,,,False,,3,5,1,1,1,86400.0,31.2,0
TX1000000013,2023-01-07 14:47:30,A5038302,C1045467,M211975,7995,5,MM,D948942,ios,card_present,117.97,USD,approved,US,low,False,,,False,,14,5,0,1,1,86400.0,62.9,0
TX1000000014,2023-01-08 08:33:25,A5105303,C1047126,M200579,7995,5,AE,D972885,android,card_present,94.18,USD,declined,GB,low,False,,,False,,8,6,0,1,1,86400.0,47.1,0
TX1000000015,2023-01-08 12:19:10,A5045376,C1013010,M202275,5311,2,SG,D949036,android,ecom,102.94,USD,approved,FR,low,False,,,False,,12,6,0,1,1,86400.0,29.4,0
TX1000000016,2023-01-08 17:05:26,A5095011,C1034927,M203046,6012,5,AE,D915740,pos,p2p,20.5,USD,approved,CA,low,False,,,False,,17,6,0,1,1,86400.0,41.5,0
TX1000000017,2023-01-09 21:46:38,A5175999,C1022060,M207277,5812,3,SY,D959416,android,ecom,24.26,USD,approved,CA,low,False,,,False,,21,0,0,0,1,86400.0,45.1,0
TX1000000018,2023-01-10 07:08:48,A5191922,C1003329,M207925,4814,1,LR,D955564,android,card_present,124.96,USD,approved,US,low,False,,,False,,7,1,0,0,1,86400.0,39.1,0
TX1000000019,2023-01-10 09:52:48,A5000379,C1010530,M210852,5311,2,BR,D935857,android,card_present,66.98,USD,approved,CA,low,False,,,False,,9,1,0,0,1,86400.0,27.8,0
TX1000000020,2023-01-12 12:42:41,A5225739,C1036655,M204597,6012,5,LR,D935302,ios,card_present,137.73,USD,approved,GB,low,False,,,False,,12,3,0,0,1,86400.0,63.5,0
TX1000000021,2023-01-13 01:47:13,A5123993,C1043633,M210297,5411,1,GB,D957540,android,card_present,5.85,USD,approved,US,low,False,,,False,,1,4,1,0,1,86400.0,21.2,0
TX1000000022,2023-01-13 09:57:27,A5193985,C1034017,M201038,4121,2,MM,D935998,web,card_present,26.42,USD,approved,US,medium,False,,,False,,9,4,0,0,1,86400.0,39.4,0
